2021-05-31 14:55:32.796 [NODEPAD] Application webapp created
2021-05-31 14:55:32.814 [NODEPAD] Strting application 'webapp'...
2021-05-31 16:55:33.071 +02:00: Starting application webapp (port: 7925)...
2021-05-31 16:56:27.603 +02:00: Request GET /nodepad/
2021-05-31 16:56:28.349 +02:00: Request GET /nodepad/
2021-05-31 16:56:28.853 +02:00: Request GET /nodepad/
2021-05-31 16:56:32.723 +02:00: Request GET /
2021-05-31 16:56:33.373 +02:00: Request GET /
2021-05-31 16:56:33.564 +02:00: Request GET /
2021-05-31 16:56:38.337 +02:00: Request GET /
2021-05-31 16:56:48.539 +02:00: Request GET /
2021-05-31 16:56:51.137 +02:00: Request GET /nodepad/
2021-05-31 16:56:51.703 +02:00: Request GET /nodepad/
2021-05-31 16:57:37.152 +02:00: Request GET /
2021-05-31 16:57:37.521 +02:00: Request GET /
2021-05-31 16:57:37.725 +02:00: Request GET /
